collect_threshold,deposit_threshold,halite_density_bin,map_size,players,ray_length,samples
102.37276070281055,947.0177776584558,5.0,32.0,2.0,8.301526311791118,314
114.5071881356967,956.6681161651217,6.0,32.0,2.0,8.188777599599945,960
128.65916360644025,965.0320459968071,7.0,32.0,2.0,8.121805273212246,3265
145.8901562445308,973.5251785413473,8.0,32.0,2.0,8.092567810583121,4237
167.96747093069234,982.734242253481,9.0,32.0,2.0,8.107093236446664,7155
196.4812710526934,991.548071536535,10.0,32.0,2.0,8.160891540903151,5229
221.6146450822988,995.8942982358974,11.0,32.0,2.0,8.091345426610863,4961
227.34437661363273,994.046995678882,12.0,32.0,2.0,7.771780333370633,3036
223.67880890362372,986.6935999147682,13.0,32.0,2.0,7.419821664369594,966
217.6022887132856,974.1423744078535,14.0,32.0,2.0,7.134207495064951,454
211.56886773550607,957.8622937243233,15.0,32.0,2.0,6.938033699254754,100
95.88744451541555,955.0320009043438,4.0,40.0,2.0,8.411213369010026,49
105.12667597299361,963.7657084395963,5.0,40.0,2.0,8.129758838774453,507
115.34473263110277,970.5884846087465,6.0,40.0,2.0,7.919847223220277,2690
127.06943006485311,977.3167027700656,7.0,40.0,2.0,7.770661977053788,6124
141.20391472291092,985.0105053368919,8.0,40.0,2.0,7.683143093759282,7571
159.05813892578462,993.9502994219824,9.0,40.0,2.0,7.660115767076787,6636
181.85912374855883,1002.8451910275202,10.0,40.0,2.0,7.697860765262179,3716
206.08609472449828,1008.287454141615,11.0,40.0,2.0,7.727453958265229,1982
218.60183917366592,1007.1162969833914,12.0,40.0,2.0,7.620449255111078,490
219.14980923701302,999.6520420858283,13.0,40.0,2.0,7.448522376181125,142
100.0331312061366,970.51485648005,4.0,48.0,2.0,8.468546995270872,56
108.41725034401419,976.9710212611622,5.0,48.0,2.0,8.101101765116917,705
117.52312778347166,982.4745842720995,6.0,48.0,2.0,7.8163840490088905,2485
127.83169102733449,988.2798969797977,7.0,48.0,2.0,7.610042293972553,6460
140.22442535989816,995.345427740316,8.0,48.0,2.0,7.487900579177199,8678
155.86052750084852,1003.6143133786618,9.0,48.0,2.0,7.454047490549973,6861
175.9705562494789,1011.7011241581846,10.0,48.0,2.0,7.504879332410133,3777
198.64225342930024,1016.5156823303007,11.0,48.0,2.0,7.597549346732725,1000
213.85973169866912,1015.021337227045,12.0,48.0,2.0,7.633922908008876,238
111.4924821437983,985.9203616392837,5.0,56.0,2.0,8.206505593065497,404
120.03291265816623,990.8496462853504,6.0,56.0,2.0,7.854036243173812,3881
129.6433504076967,996.2013850739108,7.0,56.0,2.0,7.603714496402339,8726
141.18017253389198,1002.7174891665893,8.0,56.0,2.0,7.461504086403284,7615
155.77419057927366,1010.007562567397,9.0,56.0,2.0,7.431295795967349,3367
174.61816760262255,1016.6838655958258,10.0,56.0,2.0,7.510539638269992,885
196.50208894408564,1019.9540418493634,11.0,56.0,2.0,7.663654193216853,89
105.73188949934723,984.8377677507311,4.0,64.0,2.0,9.039997120585497,32
113.59402155745848,990.5741363474896,5.0,64.0,2.0,8.46747995007634,302
121.95071742884808,995.5154032227063,6.0,64.0,2.0,8.036083546886701,1428
131.3394064551957,1000.7124933363311,7.0,64.0,2.0,7.739677413714489,4404
142.6343718883035,1006.5941996061999,8.0,64.0,2.0,7.58174003785452,7985
156.9293062231401,1012.7129473908593,9.0,64.0,2.0,7.563723402332283,8834
175.4156145114411,1017.6309266234285,10.0,64.0,2.0,7.6793067005681985,8308
197.14005075344733,1018.8931867354001,11.0,64.0,2.0,7.89703130264159,5350
213.8152123290293,1014.7717880135366,12.0,64.0,2.0,8.160852192516296,1699
218.26817605928753,1005.6993185193537,13.0,64.0,2.0,8.461121075745787,529
215.53404470530793,992.8091174014877,14.0,64.0,2.0,8.810335407238417,327
